name,class,level,experience,hp,mp,str,dex,int,vit,agi
Ciel,archer,1,5,128,101,0,1,0,0,0
,,2,36,206,102,1,1,1,0,1
,,3,122,284,105,1,2,1,0,1
,,4,288,362,109,1,2,1,0,2
,,5,563,440,114,2,3,2,0,2
,,6,972,518,120,2,4,2,0,2
,,7,1544,596,127,3,4,3,0,3
,,8,2304,674,135,3,5,3,0,3
,,9,3280,752,145,3,5,3,0,4
,,10,4500,830,155,4,6,4,0,4
,,11,5990,908,167,4,7,4,0,4
,,12,7776,986,180,4,7,4,0,5
,,13,9887,1064,193,5,8,5,0,5
,,14,12348,1142,208,5,8,5,0,5
,,15,15188,1220,224,5,9,5,0,6
,,16,18432,1298,241,6,9,6,0,6
,,17,22109,1376,259,6,10,6,0,7
,,18,26244,1454,279,6,11,6,0,7
,,19,30866,1532,299,7,11,7,0,7
,,20,36000,1610,320,7,12,7,0,8
,,21,41674,1688,343,7,12,7,0,8
,,22,47916,1766,366,8,13,8,0,8
,,23,54752,1844,391,8,13,8,0,9
,,24,62208,1922,416,8,14,8,0,9
,,25,70313,2000,443,9,15,9,0,10
,,26,79092,2078,470,9,15,9,0,10
,,27,88574,2156,499,9,16,9,1,10
,,28,98784,2234,528,10,16,10,1,11
,,29,109750,2312,559,10,17,10,1,11
,,30,121500,2390,590,10,17,10,1,11
,,31,134060,2468,623,11,18,11,1,12
,,32,147456,2546,657,11,18,11,1,12
,,33,161717,2624,691,11,19,11,1,12
,,34,176868,2702,727,12,19,12,1,13
,,35,192938,2780,763,12,20,12,1,13
,,36,209952,2858,801,12,20,12,1,13
,,37,227938,2936,839,13,21,13,1,14
,,38,246924,3014,878,13,21,13,1,14
,,39,266936,3092,918,13,22,13,1,14
,,40,288000,3170,959,14,22,14,1,15
,,41,310145,3248,1001,14,23,14,1,15
,,42,333396,3326,1044,14,23,14,1,15
,,43,357782,3404,1088,14,24,14,1,16
,,44,383328,3482,1133,15,24,15,1,16
,,45,410063,3560,1178,15,25,15,1,16
,,46,438012,3638,1225,15,25,15,1,17
,,47,467204,3716,1272,15,26,15,2,17
,,48,497664,3794,1320,16,26,16,2,17
,,49,529421,3872,1368,16,26,16,2,17
,,50,562500,3950,1418,16,27,16,2,18
,,51,596930,4028,1468,17,27,17,2,18
,,52,632736,4106,1520,17,28,17,2,18
,,53,669947,4184,1571,17,28,17,2,18
,,54,708588,4262,1624,17,29,17,2,19
,,55,748688,4340,1677,17,29,17,2,19
,,56,790272,4418,1732,18,29,18,2,19
,,57,833369,4496,1786,18,30,18,2,20
,,58,878004,4574,1842,18,30,18,2,20
,,59,924205,4652,1898,18,30,18,2,20
,,60,972000,4730,1955,19,31,19,2,20
,,61,1021415,4808,2012,19,31,19,3,20
,,62,1072476,4886,2071,19,31,19,3,21
,,63,1125212,4964,2129,19,32,19,3,21
,,64,1179648,5042,2189,19,32,19,3,21
,,65,1235813,5120,2249,20,32,20,3,21
,,66,1293732,5198,2309,20,33,20,3,22
,,67,1353434,5276,2370,20,33,20,3,22
,,68,1414944,5354,2432,20,33,20,3,22
,,69,1478291,5432,2494,20,34,20,3,22
,,70,1543500,5510,2557,20,34,20,3,22
,,71,1610600,5588,2620,21,34,21,3,22
,,72,1679616,5666,2684,21,34,21,3,23
,,73,1750576,5744,2748,21,35,21,4,23
,,74,1823508,5822,2813,21,35,21,4,23
,,75,1898438,5900,2878,21,35,21,4,23
,,76,1975392,5978,2943,21,35,21,4,23
,,77,2054399,6056,3009,22,36,22,4,23
,,78,2135484,6134,3076,22,36,22,4,24
,,79,2218676,6212,3142,22,36,22,4,24
,,80,2304000,6290,3209,22,36,22,4,24
,,81,2391485,6368,3277,22,36,22,4,24
,,82,2481156,6446,3345,22,36,22,4,24
,,83,2573042,6524,3413,22,37,22,4,24
,,84,2667168,6602,3481,22,37,22,5,24
,,85,2763562,6680,3549,22,37,22,5,24
,,86,2862252,6758,3618,22,37,22,5,24
,,87,2963264,6836,3687,23,37,23,5,24
,,88,3066624,6914,3757,23,37,23,5,25
,,89,3172361,6992,3826,23,37,23,5,25
,,90,3280500,7070,3896,23,38,23,5,25
,,91,3391070,7148,3966,23,38,23,5,25
,,92,3504096,7226,4036,23,38,23,5,25
,,93,3619607,7304,4106,23,38,23,5,25
,,94,3737628,7382,4177,23,38,23,5,25
,,95,3858188,7460,4247,23,38,23,6,25
,,96,3981312,7538,4317,23,38,23,6,25
,,97,4107029,7616,4388,23,38,23,6,25
,,98,4235364,7694,4459,23,38,23,6,25
,,99,4366346,7772,4529,23,38,23,6,25
,,100,4500000,7850,4600,23,38,23,6,25
