name,class,level,experience,hp,mp,str,dex,int,vit,agi
Faust,mage,1,5,101,116,0,0,1,0,0
,,2,36,103,232,0,1,1,0,0
,,3,122,108,349,0,1,2,0,0
,,4,288,113,465,0,2,3,0,0
,,5,563,121,581,0,2,3,0,0
,,6,972,130,696,0,3,4,0,0
,,7,1544,141,812,0,3,5,0,0
,,8,2304,154,927,0,4,5,0,0
,,9,3280,168,1043,0,4,6,0,0
,,10,4500,184,1158,0,5,7,0,0
,,11,5990,201,1272,0,5,7,0,0
,,12,7776,220,1387,0,6,8,0,0
,,13,9887,241,1501,0,6,9,0,0
,,14,12348,264,1614,0,7,9,0,0
,,15,15188,288,1727,0,7,10,0,0
,,16,18432,314,1840,0,7,11,0,0
,,17,22109,341,1953,0,8,11,0,0
,,18,26244,370,2065,0,8,12,0,0
,,19,30866,401,2176,0,9,13,0,0
,,20,36000,433,2287,0,9,13,0,0
,,21,41674,467,2397,0,10,14,0,0
,,22,47916,502,2507,0,10,15,0,0
,,23,54752,539,2616,0,11,15,0,0
,,24,62208,578,2724,0,11,16,0,0
,,25,70313,618,2832,1,11,16,0,0
,,26,79092,659,2939,1,12,17,0,0
,,27,88574,702,3045,1,12,18,0,0
,,28,98784,747,3151,1,13,18,0,0
,,29,109750,793,3256,1,13,19,1,1
,,30,121500,841,3360,1,14,20,1,1
,,31,134060,890,3463,1,14,20,1,1
,,32,147456,941,3565,1,14,21,1,1
,,33,161717,993,3666,1,15,21,1,1
,,34,176868,1047,3767,1,15,22,1,1
,,35,192938,1102,3866,1,16,22,1,1
,,36,209952,1159,3965,1,16,23,1,1
,,37,227938,1217,4063,1,16,24,1,1
,,38,246924,1276,4159,1,17,24,1,1
,,39,266936,1337,4255,1,17,25,1,1
,,40,288000,1399,4350,1,18,25,1,1
,,41,310145,1462,4443,1,18,26,1,1
,,42,333396,1527,4536,1,18,26,1,1
,,43,357782,1593,4627,2,19,27,1,1
,,44,383328,1661,4717,2,19,27,1,1
,,45,410063,1729,4806,2,19,28,1,1
,,46,438012,1799,4894,2,20,28,1,1
,,47,467204,1871,4980,2,20,29,1,1
,,48,497664,1943,5066,2,21,29,1,1
,,49,529421,2017,5150,2,21,30,1,1
,,50,562500,2092,5233,2,21,30,1,1
,,51,596930,2168,5314,2,22,31,2,2
,,52,632736,2245,5394,2,22,31,2,2
,,53,669947,2324,5473,2,22,32,2,2
,,54,708588,2403,5551,2,23,32,2,2
,,55,748688,2484,5627,2,23,33,2,2
,,56,790272,2566,5702,3,23,33,2,2
,,57,833369,2648,5775,3,23,34,2,2
,,58,878004,2732,5847,3,24,34,2,2
,,59,924205,2817,5918,3,24,34,2,2
,,60,972000,2903,5987,3,24,35,2,2
,,61,1021415,2990,6054,3,25,35,2,2
,,62,1072476,3078,6120,3,25,36,2,2
,,63,1125212,3167,6185,3,25,36,2,2
,,64,1179648,3256,6248,3,25,36,2,2
,,65,1235813,3347,6310,3,26,37,2,2
,,66,1293732,3439,6369,3,26,37,2,2
,,67,1353434,3531,6428,4,26,37,3,3
,,68,1414944,3624,6485,4,26,38,3,3
,,69,1478291,3718,6540,4,27,38,3,3
,,70,1543500,3813,6593,4,27,38,3,3
,,71,1610600,3908,6645,4,27,39,3,3
,,72,1679616,4005,6696,4,27,39,3,3
,,73,1750576,4102,6744,4,27,39,3,3
,,74,1823508,4199,6791,4,28,39,3,3
,,75,1898438,4298,6837,4,28,40,3,3
,,76,1975392,4397,6880,4,28,40,3,3
,,77,2054399,4496,6922,5,28,40,3,3
,,78,2135484,4597,6963,5,28,40,3,3
,,79,2218676,4697,7001,5,28,41,3,3
,,80,2304000,4799,7038,5,29,41,3,3
,,81,2391485,4901,7073,5,29,41,4,4
,,82,2481156,5003,7106,5,29,41,4,4
,,83,2573042,5106,7138,5,29,41,4,4
,,84,2667168,5209,7168,5,29,42,4,4
,,85,2763562,5313,7196,5,29,42,4,4
,,86,2862252,5417,7222,5,29,42,4,4
,,87,2963264,5521,7246,6,29,42,4,4
,,88,3066624,5626,7269,6,29,42,4,4
,,89,3172361,5731,7290,6,30,42,4,4
,,90,3280500,5836,7309,6,30,42,4,4
,,91,3391070,5942,7326,6,30,43,4,4
,,92,3504096,6048,7342,6,30,43,4,4
,,93,3619607,6154,7355,6,30,43,4,4
,,94,3737628,6260,7367,6,30,43,5,5
,,95,3858188,6366,7377,6,30,43,5,5
,,96,3981312,6473,7385,7,30,43,5,5
,,97,4107029,6580,7392,7,30,43,5,5
,,98,4235364,6686,7396,7,30,43,5,5
,,99,4366346,6793,7399,7,30,43,5,5
,,100,4500000,6900,7400,7,30,43,5,5
