name,class,level,experience,hp,mp,str,dex,int,vit,agi
Alexandre,warrior,1,5,188,100,1,0,0,1,0
,,2,36,377,101,1,0,0,1,0
,,3,122,565,103,2,0,0,2,1
,,4,288,753,105,2,0,0,2,1
,,5,563,942,107,3,0,0,3,1
,,6,972,1129,111,3,0,0,3,1
,,7,1544,1317,114,4,0,0,4,1
,,8,2304,1504,119,4,0,0,4,1
,,9,3280,1691,124,5,0,0,5,2
,,10,4500,1877,130,5,0,0,5,2
,,11,5990,2063,136,6,0,0,6,2
,,12,7776,2249,143,7,0,0,7,2
,,13,9887,2433,150,7,0,0,7,2
,,14,12348,2618,158,8,0,0,8,3
,,15,15188,2801,166,8,0,0,8,3
,,16,18432,2984,175,9,0,0,9,3
,,17,22109,3166,185,9,0,0,9,3
,,18,26244,3348,195,10,0,0,10,3
,,19,30866,3528,206,10,0,0,10,3
,,20,36000,3708,217,11,0,1,11,4
,,21,41674,3887,229,11,0,1,11,4
,,22,47916,4065,242,12,0,1,12,4
,,23,54752,4242,255,12,0,1,12,4
,,24,62208,4417,269,13,0,1,13,4
,,25,70313,4592,283,13,1,1,13,5
,,26,79092,4766,297,14,1,1,14,5
,,27,88574,4938,313,14,1,1,14,5
,,28,98784,5109,328,15,1,1,15,5
,,29,109750,5279,345,15,1,1,15,5
,,30,121500,5448,362,16,1,1,16,5
,,31,134060,5615,379,16,1,1,16,6
,,32,147456,5781,397,17,1,1,17,6
,,33,161717,5946,415,17,1,1,17,6
,,34,176868,6108,434,18,1,2,18,6
,,35,192938,6270,454,18,1,2,18,6
,,36,209952,6430,474,19,1,2,19,6
,,37,227938,6588,494,19,1,2,19,7
,,38,246924,6745,515,20,1,2,20,7
,,39,266936,6900,536,20,1,2,20,7
,,40,288000,7053,558,21,1,2,21,7
,,41,310145,7205,581,21,1,2,21,7
,,42,333396,7355,604,21,1,2,21,8
,,43,357782,7503,627,22,2,2,22,8
,,44,383328,7649,651,22,2,3,22,8
,,45,410063,7793,675,23,2,3,23,8
,,46,438012,7936,700,23,2,3,23,8
,,47,467204,8076,725,24,2,3,24,8
,,48,497664,8215,750,24,2,3,24,9
,,49,529421,8351,776,24,2,3,24,9
,,50,562500,8485,803,25,2,3,25,9
,,51,596930,8618,830,25,2,3,25,9
,,52,632736,8748,857,26,2,3,26,9
,,53,669947,8876,885,26,2,4,26,10
,,54,708588,9001,913,26,2,4,26,10
,,55,748688,9125,941,27,2,4,27,10
,,56,790272,9246,970,27,3,4,27,10
,,57,833369,9365,999,27,3,4,27,10
,,58,878004,9482,1029,28,3,4,28,10
,,59,924205,9596,1059,28,3,4,28,11
,,60,972000,9708,1089,28,3,5,28,11
,,61,1021415,9818,1120,29,3,5,29,11
,,62,1072476,9925,1151,29,3,5,29,11
,,63,1125212,10030,1182,29,3,5,29,11
,,64,1179648,10132,1214,30,3,5,30,12
,,65,1235813,10232,1246,30,3,5,30,12
,,66,1293732,10329,1278,30,3,5,30,12
,,67,1353434,10424,1311,30,4,6,30,12
,,68,1414944,10516,1344,31,4,6,31,12
,,69,1478291,10605,1377,31,4,6,31,12
,,70,1543500,10692,1410,31,4,6,31,13
,,71,1610600,10776,1444,31,4,6,31,13
,,72,1679616,10858,1478,32,4,6,32,13
,,73,1750576,10937,1512,32,4,6,32,13
,,74,1823508,11013,1547,32,4,7,32,13
,,75,1898438,11087,1582,32,4,7,32,14
,,76,1975392,11157,1617,33,4,7,33,14
,,77,2054399,11225,1652,33,5,7,33,14
,,78,2135484,11291,1687,33,5,7,33,14
,,79,2218676,11353,1723,33,5,7,33,14
,,80,2304000,11413,1758,33,5,8,33,14
,,81,2391485,11470,1794,33,5,8,33,15
,,82,2481156,11524,1830,34,5,8,34,15
,,83,2573042,11575,1867,34,5,8,34,15
,,84,2667168,11623,1903,34,5,8,34,15
,,85,2763562,11668,1940,34,5,8,34,15
,,86,2862252,11711,1976,34,5,9,34,15
,,87,2963264,11751,2013,34,6,9,34,16
,,88,3066624,11787,2050,34,6,9,34,16
,,89,3172361,11821,2087,34,6,9,34,16
,,90,3280500,11852,2125,35,6,9,35,16
,,91,3391070,11880,2162,35,6,9,35,16
,,92,3504096,11905,2199,35,6,10,35,17
,,93,3619607,11928,2237,35,6,10,35,17
,,94,3737628,11947,2274,35,6,10,35,17
,,95,3858188,11963,2312,35,6,10,35,17
,,96,3981312,11976,2349,35,7,10,35,17
,,97,4107029,11987,2387,35,7,10,35,17
,,98,4235364,11994,2425,35,7,11,35,18
,,99,4366346,11999,2462,35,7,11,35,18
,,100,4500000,12000,2500,35,7,11,35,18
